EEPS Model,6.04,6.98,8.06,9.31,10.8,12.4,14.3,16.5,19.1,22.1,25.5,29.4,34,39.2,45.3,52.3,60.4,69.8,80.6,93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3
2005 EEPS,14632.7,42017.1,281404,732792,1.47E+06,2.49E+06,3.35E+06,4.04E+06,4.72E+06,5.39E+06,5.80E+06,5.95E+06,5.84E+06,5.45E+06,5.02E+06,4.55E+06,3.88E+06,3.01E+06,2.23E+06,1.54E+06,1.05E+06,773160,574720,457330,349387,250892,165745,93948,47791.2,27274.7,14371.6,9081.83
2005 EEPS,0,28026.2,228103,592002,1.37E+06,2.57E+06,3.56E+06,4.34E+06,5.05E+06,5.69E+06,6.07E+06,6.19E+06,6.05E+06,5.63E+06,5.17E+06,4.66E+06,3.96E+06,3.05E+06,2.25E+06,1.54E+06,1.05E+06,769712,570457,452534,345164,248348,165312,96056.4,50809.4,29570.8,16048.7,10243.1
2005 EEPS,0,0,0,0,557113,1.68E+06,2.69E+06,3.60E+06,4.45E+06,5.24E+06,5.74E+06,5.93E+06,5.88E+06,5.58E+06,5.27E+06,4.95E+06,4.42E+06,3.71E+06,2.98E+06,2.23E+06,1.68E+06,1.31E+06,1.05E+06,878902,700033,510727,339320,185812,91017,54933.8,32144.1,22647.9
2014 EEPS,0,0,391111,1.30E+06,1.85E+06,2.03E+06,2.31E+06,2.68E+06,2.84E+06,2.79E+06,3.25E+06,4.25E+06,4.77E+06,4.81E+06,4.73E+06,4.52E+06,4.02E+06,3.25E+06,2.46E+06,1.64E+06,1.03E+06,616178,336435,191384,95484.4,48736.6,19259.9,7054.15,0,0,0,0
2014 EEPS,0,0,237055,882536,1.31E+06,1.53E+06,1.86E+06,2.32E+06,2.63E+06,2.80E+06,3.48E+06,4.68E+06,5.38E+06,5.59E+06,5.63E+06,5.51E+06,5.07E+06,4.30E+06,3.42E+06,2.43E+06,1.64E+06,1.05E+06,635641,386673,212511,113152,49199.1,20651.9,3485.55,0,0,0
2014 EEPS,0,0,188856,731591,1.12E+06,1.35E+06,1.69E+06,2.15E+06,2.46E+06,2.62E+06,3.21E+06,4.23E+06,4.87E+06,5.14E+06,5.29E+06,5.33E+06,5.09E+06,4.58E+06,3.80E+06,2.75E+06,1.89E+06,1.21E+06,721754,428917,226873,115620,45598.8,16809,3.98106,0,0,0
