
Date/Time Start:,"Wednesday, May 18, 2022  10:04:05 AM"
Title:,40 PSI run
Comments:,""
Instrument Label:,"TSI Model 3090,Serial Number 71525048, Firmware Version MCU:3.15,DSP:3.02"
Run Length:,3 min 0 s
Averaging Interval [s]:,60.0
Instrument Matrix:,DEFAULT

Instrument Status:,"Column Heater OFF,"
Instrument Errors:,"No Errors Detected"

Export Conditions:, Standard (US-EPA)
Standard Temperature [°C]:, 20.000
Standard Pressure [kPa]:, 101.325
Additional Dilution Factor:, 1.000

Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,
Density vector [g/scm³],1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,

dN/dlogDp [#/scm³],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,,
"Elapsed [s]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0,0,374600,1.23855e+006,1.73105e+006,1.85209e+006,2.06574e+006,2.37199e+006,2.5038e+006,2.46118e+006,2.86297e+006,3.7092e+006,4.17592e+006,4.26314e+006,4.25273e+006,4.14468e+006,3.78401e+006,3.17072e+006,2.47517e+006,1.69737e+006,1.09731e+006,674983,385102,227665,120733,64306.9,28006.1,11830.1,1894.65,0,0,0,,
120.0,0,0,405102,1.3351e+006,1.87782e+006,2.03326e+006,2.26666e+006,2.578e+006,2.68575e+006,2.5899e+006,2.95994e+006,3.79584e+006,4.24104e+006,4.29554e+006,4.25552e+006,4.12099e+006,3.73758e+006,3.10529e+006,2.40436e+006,1.63479e+006,1.0446e+006,633780,354127,205640,106006,55225.6,22869.4,8937.52,422.913,0,0,0,,
180.0,0,0,391111,1.29919e+006,1.84524e+006,2.02925e+006,2.30911e+006,2.68481e+006,2.84362e+006,2.78552e+006,3.2534e+006,4.24727e+006,4.76647e+006,4.811e+006,4.72762e+006,4.51632e+006,4.0238e+006,3.25007e+006,2.45686e+006,1.64417e+006,1.03061e+006,616178,336435,191384,95484.4,48736.6,19259.9,7054.15,0,0,0,0,,
