Datetime,Precipitation,Precip amt (1/100 inch),P1,P2,P3,1min dry bulb temp,1min dew point temp
2021-03-01T08:00:00Z,NP,0,30.128,30.123,30.121,50,41
2021-03-01T08:01:00Z,NP,0,30.129,30.123,30.121,50,41
2021-03-01T08:02:00Z,NP,0,30.129,30.123,30.121,50,41
2021-03-01T08:03:00Z,NP,0,30.129,30.124,30.121,50,41
2021-03-01T08:04:00Z,NP,0,30.129,30.124,30.122,49,41
2021-03-01T08:05:00Z,NP,0,30.13,30.124,30.122,49,40
2021-03-01T08:06:00Z,NP,0,30.13,30.125,30.122,49,40
2021-03-01T08:07:00Z,NP,0,30.13,30.124,30.122,49,40
2021-03-01T08:08:00Z,NP,0,30.13,30.124,30.122,49,40
2021-03-01T08:09:00Z,NP,0,30.13,30.124,30.122,49,40
2021-03-01T08:10:00Z,NP,0,30.129,30.124,30.122,49,40
2021-03-01T08:11:00Z,NP,0,30.129,30.124,30.122,48,40
2021-03-01T08:12:00Z,NP,0,30.129,30.124,30.122,48,39
2021-03-01T08:13:00Z,NP,0,30.129,30.124,30.122,48,39
2021-03-01T08:14:00Z,NP,0,30.13,30.124,30.122,49,40
2021-03-01T08:15:00Z,NP,0,30.13,30.124,30.122,49,40
2021-03-01T08:16:00Z,NP,0,30.13,30.125,30.123,50,40
2021-03-01T08:17:00Z,NP,0,30.13,30.125,30.123,50,40
2021-03-01T08:18:00Z,NP,0,30.13,30.125,30.123,49,40
2021-03-01T08:19:00Z,NP,0,30.13,30.125,30.123,49,40
2021-03-01T08:20:00Z,NP,0,30.131,30.125,30.123,49,40
2021-03-01T08:21:00Z,NP,0,30.131,30.125,30.123,49,41
2021-03-01T08:22:00Z,NP,0,30.131,30.125,30.123,50,41
2021-03-01T08:23:00Z,NP,0,30.131,30.125,30.123,50,41
2021-03-01T08:24:00Z,NP,0,30.13,30.125,30.123,50,41
2021-03-01T08:25:00Z,NP,0,30.13,30.125,30.122,49,41
2021-03-01T08:26:00Z,NP,0,30.13,30.125,30.123,48,41
2021-03-01T08:27:00Z,NP,0,30.13,30.125,30.122,48,41
2021-03-01T08:28:00Z,NP,0,30.13,30.125,30.123,47,40
2021-03-01T08:29:00Z,NP,0,30.131,30.125,30.123,47,40
2021-03-01T08:30:00Z,NP,0,30.131,30.125,30.123,48,40
2021-03-01T08:31:00Z,NP,0,30.131,30.125,30.123,48,40
2021-03-01T08:32:00Z,NP,0,30.131,30.126,30.123,48,40
2021-03-01T08:33:00Z,NP,0,30.131,30.126,30.124,49,40
2021-03-01T08:34:00Z,NP,0,30.131,30.126,30.124,50,41
2021-03-01T08:35:00Z,NP,0,30.131,30.126,30.123,50,41
2021-03-01T08:36:00Z,NP,0,30.131,30.126,30.124,51,41
2021-03-01T08:37:00Z,NP,0,30.131,30.126,30.124,51,42
2021-03-01T08:38:00Z,NP,0,30.132,30.126,30.124,51,41
2021-03-01T08:39:00Z,NP,0,30.132,30.126,30.124,51,42
2021-03-01T08:40:00Z,NP,0,30.132,30.127,30.125,50,42
2021-03-01T08:41:00Z,NP,0,30.133,30.127,30.125,50,42
2021-03-01T08:42:00Z,NP,0,30.133,30.128,30.125,50,42
2021-03-01T08:43:00Z,NP,0,30.133,30.128,30.126,50,42
2021-03-01T08:44:00Z,NP,0,30.133,30.128,30.126,50,42
2021-03-01T08:45:00Z,NP,0,30.133,30.128,30.126,50,42
2021-03-01T08:46:00Z,NP,0,30.134,30.128,30.126,50,42
2021-03-01T08:47:00Z,NP,0,30.134,30.128,30.126,47,41
2021-03-01T08:48:00Z,NP,0,30.134,30.128,30.126,47,40
2021-03-01T08:49:00Z,NP,0,30.134,30.129,30.127,49,41
2021-03-01T08:50:00Z,NP,0,30.134,30.129,30.127,50,41
2021-03-01T08:51:00Z,NP,0,30.134,30.129,30.127,51,42
2021-03-01T08:52:00Z,NP,0,30.134,30.129,30.127,51,42
2021-03-01T08:53:00Z,NP,0,30.134,30.129,30.127,51,42
2021-03-01T08:54:00Z,NP,0,30.134,30.129,30.127,52,43
2021-03-01T08:55:00Z,NP,0,30.134,30.128,30.127,52,43
2021-03-01T08:56:00Z,NP,0,30.134,30.129,30.127,52,43
2021-03-01T08:57:00Z,NP,0,30.134,30.129,30.127,52,43
2021-03-01T08:58:00Z,NP,0,30.134,30.129,30.127,53,43
2021-03-01T08:59:00Z,NP,0,30.134,30.129,30.127,52,43
2021-03-01T09:00:00Z,NP,0,30.134,30.128,30.126,51,42
2021-03-01T09:01:00Z,NP,0,30.134,30.128,30.126,50,42
2021-03-01T09:02:00Z,NP,0,30.133,30.128,30.126,50,41
2021-03-01T09:03:00Z,NP,0,30.133,30.128,30.126,51,41
2021-03-01T09:04:00Z,NP,0,30.134,30.128,30.126,53,42
2021-03-01T09:05:00Z,NP,0,30.134,30.129,30.127,53,42
2021-03-01T09:06:00Z,NP,0,30.135,30.13,30.128,52,42
2021-03-01T09:07:00Z,NP,0,30.136,30.131,30.128,52,42
2021-03-01T09:08:00Z,NP,0,30.137,30.131,30.129,51,41
2021-03-01T09:09:00Z,NP,0,30.137,30.132,30.13,51,41
2021-03-01T09:10:00Z,NP,0,30.137,30.132,30.13,52,41
2021-03-01T09:11:00Z,NP,0,30.137,30.132,30.13,52,42
2021-03-01T09:12:00Z,NP,0,30.137,30.132,30.13,52,42
2021-03-01T09:13:00Z,NP,0,30.137,30.132,30.13,53,42
2021-03-01T09:14:00Z,NP,0,30.138,30.132,30.13,53,42
2021-03-01T09:15:00Z,NP,0,30.138,30.133,30.131,53,42
2021-03-01T09:16:00Z,NP,0,30.139,30.133,30.131,52,42
2021-03-01T09:17:00Z,NP,0,30.139,30.134,30.132,51,42
2021-03-01T09:18:00Z,NP,0,30.139,30.134,30.132,50,42
2021-03-01T09:19:00Z,NP,0,30.139,30.134,30.132,50,41
2021-03-01T09:20:00Z,NP,0,30.139,30.133,30.131,51,41
2021-03-01T09:21:00Z,NP,0,30.139,30.133,30.131,51,41
2021-03-01T09:22:00Z,NP,0,30.139,30.133,30.131,50,41
2021-03-01T09:23:00Z,NP,0,30.139,30.133,30.131,50,41
2021-03-01T09:24:00Z,NP,0,30.138,30.133,30.131,50,41
2021-03-01T09:25:00Z,NP,0,30.138,30.133,30.131,50,41
2021-03-01T09:26:00Z,NP,0,30.138,30.132,30.13,50,41
2021-03-01T09:27:00Z,NP,0,30.137,30.132,30.13,50,41
2021-03-01T09:28:00Z,NP,0,30.137,30.132,30.129,50,40
2021-03-01T09:29:00Z,NP,0,30.136,30.131,30.129,50,40
2021-03-01T09:30:00Z,NP,0,30.135,30.13,30.128,50,40
2021-03-01T09:31:00Z,NP,0,30.135,30.129,30.127,50,40
2021-03-01T09:32:00Z,NP,0,30.135,30.129,30.127,50,40
2021-03-01T09:33:00Z,NP,0,30.135,30.129,30.127,50,40
2021-03-01T09:34:00Z,NP,0,30.135,30.129,30.127,50,39
2021-03-01T09:35:00Z,NP,0,30.135,30.13,30.128,50,39
