X1,X2,X3,X4,X5,X6,X7,X8
03856KHSV,2021-03-01T08:00:00Z,0.531,N,359,13,4,16
03856KHSV,2021-03-01T08:01:00Z,0.715,N,355,14,347,15
03856KHSV,2021-03-01T08:02:00Z,0.893,N,355,14,353,19
03856KHSV,2021-03-01T08:03:00Z,0.881,N,359,14,358,17
03856KHSV,2021-03-01T08:04:00Z,1.098,N,358,13,358,16
03856KHSV,2021-03-01T08:05:00Z,1.164,N,358,12,356,14
03856KHSV,2021-03-01T08:06:00Z,1.003,N,358,11,358,14
03856KHSV,2021-03-01T08:07:00Z,1.062,N,353,10,2,11
03856KHSV,2021-03-01T08:08:00Z,1.018,N,356,8,349,10
03856KHSV,2021-03-01T08:09:00Z,1.003,N,6,8,9,11
03856KHSV,2021-03-01T08:10:00Z,1.115,N,10,9,14,12
03856KHSV,2021-03-01T08:11:00Z,1.533,N,12,10,20,11
03856KHSV,2021-03-01T08:12:00Z,1.762,N,16,10,16,12
03856KHSV,2021-03-01T08:13:00Z,1.706,N,24,10,31,11
03856KHSV,2021-03-01T08:14:00Z,1.438,N,29,9,26,11
03856KHSV,2021-03-01T08:15:00Z,1.185,N,30,10,34,19
03856KHSV,2021-03-01T08:16:00Z,1.015,N,23,12,5,18
03856KHSV,2021-03-01T08:17:00Z,0.809,N,15,14,17,19
03856KHSV,2021-03-01T08:18:00Z,0.572,N,15,16,15,21
03856KHSV,2021-03-01T08:19:00Z,0.504,N,12,16,15,19
03856KHSV,2021-03-01T08:20:00Z,0.607,N,14,13,17,12
03856KHSV,2021-03-01T08:21:00Z,0.68,N,19,11,19,14
03856KHSV,2021-03-01T08:22:00Z,0.64,N,19,11,12,14
03856KHSV,2021-03-01T08:23:00Z,0.648,N,13,11,350,13
03856KHSV,2021-03-01T08:24:00Z,0.811,N,13,11,8,14
03856KHSV,2021-03-01T08:25:00Z,0.884,N,15,11,12,16
03856KHSV,2021-03-01T08:26:00Z,0.87,N,11,11,18,13
03856KHSV,2021-03-01T08:27:00Z,0.798,N,11,10,12,14
03856KHSV,2021-03-01T08:28:00Z,0.781,N,15,11,23,15
03856KHSV,2021-03-01T08:29:00Z,0.711,N,14,11,19,10
03856KHSV,2021-03-01T08:30:00Z,0.896,N,15,11,25,16
03856KHSV,2021-03-01T08:31:00Z,1.028,N,20,12,19,15
03856KHSV,2021-03-01T08:32:00Z,1.109,N,24,13,25,15
03856KHSV,2021-03-01T08:33:00Z,0.996,N,24,12,28,15
03856KHSV,2021-03-01T08:34:00Z,0.944,N,22,10,17,11
03856KHSV,2021-03-01T08:35:00Z,0.971,N,24,10,23,14
03856KHSV,2021-03-01T08:36:00Z,0.83,N,28,10,32,11
03856KHSV,2021-03-01T08:37:00Z,0.708,N,29,10,16,13
03856KHSV,2021-03-01T08:38:00Z,0.62,N,27,11,33,14
03856KHSV,2021-03-01T08:39:00Z,0.978,N,25,11,30,13
03856KHSV,2021-03-01T08:40:00Z,1.225,N,23,11,26,12
03856KHSV,2021-03-01T08:41:00Z,1.482,N,27,10,40,13
03856KHSV,2021-03-01T08:42:00Z,1.234,N,32,11,33,14
03856KHSV,2021-03-01T08:43:00Z,1.026,N,35,11,38,13
03856KHSV,2021-03-01T08:44:00Z,0.814,N,31,10,31,11
03856KHSV,2021-03-01T08:45:00Z,0.716,N,22,9,19,10
03856KHSV,2021-03-01T08:46:00Z,0.662,N,19,8,16,9
03856KHSV,2021-03-01T08:47:00Z,0.695,N,18,8,15,10
03856KHSV,2021-03-01T08:48:00Z,0.684,N,17,8,16,9
03856KHSV,2021-03-01T08:49:00Z,0.634,N,23,9,26,12
03856KHSV,2021-03-01T08:50:00Z,0.605,N,29,9,29,11
03856KHSV,2021-03-01T08:51:00Z,0.575,N,32,9,37,11
03856KHSV,2021-03-01T08:52:00Z,0.71,N,30,9,39,10
03856KHSV,2021-03-01T08:53:00Z,0.758,N,31,9,35,12
03856KHSV,2021-03-01T08:54:00Z,0.778,N,32,10,32,13
03856KHSV,2021-03-01T08:55:00Z,0.76,N,29,10,36,11
03856KHSV,2021-03-01T08:56:00Z,0.728,N,29,11,33,15
03856KHSV,2021-03-01T08:57:00Z,0.746,N,26,11,21,12
03856KHSV,2021-03-01T08:58:00Z,0.723,N,26,10,34,10
03856KHSV,2021-03-01T08:59:00Z,0.7,N,29,8,33,9
03856KHSV,2021-03-01T09:00:00Z,0.626,N,25,9,26,14
03856KHSV,2021-03-01T09:01:00Z,0.569,N,27,11,28,14
03856KHSV,2021-03-01T09:02:00Z,0.46,N,30,12,33,14
03856KHSV,2021-03-01T09:03:00Z,0.407,N,26,11,22,14
03856KHSV,2021-03-01T09:04:00Z,0.343,N,27,11,25,14
03856KHSV,2021-03-01T09:05:00Z,0.29,N,27,11,26,13
03856KHSV,2021-03-01T09:06:00Z,0.244,N,23,11,15,12
03856KHSV,2021-03-01T09:07:00Z,0.23,N,23,9,26,10
03856KHSV,2021-03-01T09:08:00Z,0.205,N,21,9,18,11
03856KHSV,2021-03-01T09:09:00Z,0.169,N,16,10,14,14
03856KHSV,2021-03-01T09:10:00Z,0.155,N,14,9,22,12
03856KHSV,2021-03-01T09:11:00Z,0.151,N,11,8,19,11
03856KHSV,2021-03-01T09:12:00Z,0.147,N,4,9,356,12
03856KHSV,2021-03-01T09:13:00Z,0.147,N,360,10,1,13
03856KHSV,2021-03-01T09:14:00Z,0.143,N,352,11,334,13
03856KHSV,2021-03-01T09:15:00Z,0.172,N,342,11,343,12
03856KHSV,2021-03-01T09:16:00Z,0.193,N,339,11,349,12
03856KHSV,2021-03-01T09:17:00Z,0.203,N,337,11,337,16
03856KHSV,2021-03-01T09:18:00Z,0.25,N,338,11,343,14
03856KHSV,2021-03-01T09:19:00Z,0.334,N,341,11,343,14
03856KHSV,2021-03-01T09:20:00Z,0.775,N,342,9,340,10
03856KHSV,2021-03-01T09:21:00Z,0.973,N,348,8,347,11
03856KHSV,2021-03-01T09:22:00Z,1.123,N,355,8,335,8
03856KHSV,2021-03-01T09:23:00Z,1.309,N,354,7,346,12
03856KHSV,2021-03-01T09:24:00Z,1.294,N,357,9,4,13
03856KHSV,2021-03-01T09:25:00Z,1.068,N,356,10,351,12
03856KHSV,2021-03-01T09:26:00Z,0.837,N,350,10,352,11
03856KHSV,2021-03-01T09:27:00Z,0.684,N,350,10,355,13
03856KHSV,2021-03-01T09:28:00Z,0.584,N,348,10,349,12
03856KHSV,2021-03-01T09:29:00Z,0.478,N,346,9,355,10
03856KHSV,2021-03-01T09:30:00Z,0.387,N,343,8,334,10
03856KHSV,2021-03-01T09:31:00Z,0.304,N,339,8,341,10
03856KHSV,2021-03-01T09:32:00Z,0.28,N,340,7,322,8
03856KHSV,2021-03-01T09:33:00Z,0.311,N,339,7,333,9
03856KHSV,2021-03-01T09:34:00Z,0.483,N,339,8,325,10
03856KHSV,2021-03-01T09:35:00Z,1.086,N,345,8,349,10
03856KHSV,2021-03-01T09:36:00Z,1.74,N,354,8,356,11
03856KHSV,2021-03-01T09:37:00Z,1.888,N,357,8,352,9
03856KHSV,2021-03-01T09:38:00Z,1.551,N,355,7,0,7
03856KHSV,2021-03-01T09:39:00Z,1.313,N,351,7,351,9
03856KHSV,2021-03-01T09:40:00Z,1.207,N,349,8,352,10
03856KHSV,2021-03-01T09:41:00Z,1.319,N,347,7,342,8
03856KHSV,2021-03-01T09:42:00Z,1.134,N,348,7,0,8
03856KHSV,2021-03-01T09:43:00Z,1.023,N,354,6,343,7
03856KHSV,2021-03-01T09:44:00Z,0.859,N,1,6,8,8
03856KHSV,2021-03-01T09:45:00Z,0.737,N,13,6,33,7
03856KHSV,2021-03-01T09:46:00Z,0.815,N,19,6,15,8
03856KHSV,2021-03-01T09:47:00Z,0.922,N,11,6,5,7
03856KHSV,2021-03-01T09:48:00Z,0.877,N,11,6,23,7
03856KHSV,2021-03-01T09:49:00Z,0.954,N,19,6,25,7
03856KHSV,2021-03-01T09:50:00Z,0.88,N,23,6,19,7
03856KHSV,2021-03-01T09:51:00Z,0.791,N,24,6,28,8
03856KHSV,2021-03-01T09:52:00Z,0.668,N,24,7,22,10
03856KHSV,2021-03-01T09:53:00Z,0.534,N,18,8,16,9
03856KHSV,2021-03-01T09:54:00Z,0.441,N,19,7,31,10
03856KHSV,2021-03-01T09:55:00Z,0.409,N,20,7,22,9
03856KHSV,2021-03-01T09:56:00Z,0.451,N,17,7,31,7
03856KHSV,2021-03-01T09:57:00Z,0.456,N,22,7,27,9
03856KHSV,2021-03-01T09:58:00Z,0.402,N,25,7,25,8
03856KHSV,2021-03-01T09:59:00Z,0.405,N,23,7,25,8
03856KHSV,2021-03-01T10:00:00Z,0.354,N,20,6,25,6
03856KHSV,2021-03-01T10:01:00Z,0.331,N,18,4,19,5
03856KHSV,2021-03-01T10:02:00Z,0.303,N,22,4,29,6
03856KHSV,2021-03-01T10:03:00Z,0.241,N,25,4,30,5
03856KHSV,2021-03-01T10:04:00Z,0.202,N,24,4,27,5
03856KHSV,2021-03-01T10:05:00Z,0.189,N,24,4,20,5
03856KHSV,2021-03-01T10:06:00Z,0.172,N,24,4,25,5
03856KHSV,2021-03-01T10:07:00Z,0.151,N,22,4,31,5
03856KHSV,2021-03-01T10:08:00Z,0.148,N,17,4,14,4
03856KHSV,2021-03-01T10:09:00Z,0.197,N,14,4,13,5
03856KHSV,2021-03-01T10:10:00Z,0.219,N,23,4,17,5
03856KHSV,2021-03-01T10:11:00Z,0.197,N,35,4,34,5
03856KHSV,2021-03-01T10:12:00Z,0.173,N,40,3,37,4
03856KHSV,2021-03-01T10:13:00Z,0.161,N,30,3,6,4
03856KHSV,2021-03-01T10:14:00Z,0.178,N,22,3,17,3
03856KHSV,2021-03-01T10:15:00Z,0.219,N,21,3,35,4
03856KHSV,2021-03-01T10:16:00Z,0.217,N,17,3,24,5
03856KHSV,2021-03-01T10:17:00Z,0.204,N,19,4,22,5
03856KHSV,2021-03-01T10:18:00Z,0.232,N,20,4,15,5
03856KHSV,2021-03-01T10:19:00Z,0.303,N,20,4,15,5
03856KHSV,2021-03-01T10:20:00Z,0.323,N,22,4,27,5
03856KHSV,2021-03-01T10:21:00Z,0.294,N,27,4,28,5
03856KHSV,2021-03-01T10:22:00Z,0.257,N,37,4,35,4
03856KHSV,2021-03-01T10:23:00Z,0.226,N,39,3,31,3
03856KHSV,2021-03-01T10:24:00Z,0.231,N,40,2,31,2
03856KHSV,2021-03-01T10:25:00Z,0.232,N,43,1,51,1
03856KHSV,2021-03-01T10:26:00Z,0.22,N,41,1,32,1
03856KHSV,2021-03-01T10:27:00Z,0.216,N,44,1,47,2
03856KHSV,2021-03-01T10:28:00Z,0.203,N,41,1,27,2
03856KHSV,2021-03-01T10:29:00Z,0.176,N,35,2,27,2
03856KHSV,2021-03-01T10:30:00Z,0.213,N,38,1,33,1
03856KHSV,2021-03-01T10:31:00Z,0.277,N,61,1,46,2
03856KHSV,2021-03-01T10:32:00Z,0.291,N,101,1,118,1
03856KHSV,2021-03-01T10:33:00Z,0.273,N,102,1,92,1
03856KHSV,2021-03-01T10:34:00Z,0.25,N,86,1,87,1
03856KHSV,2021-03-01T10:35:00Z,0.228,N,86,1,96,1
03856KHSV,2021-03-01T10:36:00Z,0.236,N,58,1,55,1
03856KHSV,2021-03-01T10:37:00Z,0.221,N,35,1,12,1
03856KHSV,2021-03-01T10:38:00Z,0.184,N,353,0,341,1
03856KHSV,2021-03-01T10:39:00Z,0.186,N,2,0,72,1
03856KHSV,2021-03-01T10:40:00Z,0.176,N,96,1,85,2
03856KHSV,2021-03-01T10:41:00Z,0.163,N,80,2,85,2
03856KHSV,2021-03-01T10:42:00Z,0.166,N,89,2,102,2
03856KHSV,2021-03-01T10:43:00Z,0.165,N,103,1,115,2
03856KHSV,2021-03-01T10:44:00Z,0.152,N,98,2,78,4
03856KHSV,2021-03-01T10:45:00Z,0.186,N,85,3,79,5
03856KHSV,2021-03-01T10:46:00Z,0.252,N,86,4,87,5
03856KHSV,2021-03-01T10:47:00Z,0.323,N,97,3,102,3
03856KHSV,2021-03-01T10:48:00Z,0.354,N,119,2,138,3
03856KHSV,2021-03-01T10:49:00Z,0.336,N,131,2,132,3
03856KHSV,2021-03-01T10:50:00Z,0.387,N,115,2,105,3
03856KHSV,2021-03-01T10:51:00Z,0.372,N,100,3,99,4
03856KHSV,2021-03-01T10:52:00Z,0.374,N,97,4,96,4
03856KHSV,2021-03-01T10:53:00Z,0.439,N,98,4,98,4
03856KHSV,2021-03-01T10:54:00Z,0.423,N,99,4,101,5
03856KHSV,2021-03-01T10:55:00Z,0.443,N,101,4,89,4
03856KHSV,2021-03-01T10:56:00Z,0.482,N,110,3,112,3
03856KHSV,2021-03-01T10:57:00Z,0.414,N,125,3,133,3
03856KHSV,2021-03-01T10:58:00Z,0.342,N,142,2,147,3
03856KHSV,2021-03-01T10:59:00Z,0.241,N,157,2,179,3
03856KHSV,2021-03-01T11:00:00Z,0.216,N,177,2,194,3
03856KHSV,2021-03-01T11:01:00Z,0.221,N,191,3,196,3
03856KHSV,2021-03-01T11:02:00Z,0.225,N,197,3,201,3
03856KHSV,2021-03-01T11:03:00Z,0.207,N,200,3,193,3
03856KHSV,2021-03-01T11:04:00Z,0.244,N,199,3,210,3
03856KHSV,2021-03-01T11:05:00Z,0.302,N,201,2,191,2
03856KHSV,2021-03-01T11:06:00Z,0.256,N,213,2,219,2
03856KHSV,2021-03-01T11:07:00Z,0.315,N,228,1,250,1
03856KHSV,2021-03-01T11:08:00Z,0.858,N,216,1,212,1
03856KHSV,2021-03-01T11:09:00Z,0.973,N,191,1,177,1
03856KHSV,2021-03-01T11:10:00Z,0.859,N,176,1,171,2
03856KHSV,2021-03-01T11:11:00Z,0.763,N,169,1,162,2
03856KHSV,2021-03-01T11:12:00Z,0.75,N,163,2,154,2
03856KHSV,2021-03-01T11:13:00Z,0.738,N,159,2,155,2
03856KHSV,2021-03-01T11:14:00Z,0.696,N,164,1,160,2
03856KHSV,2021-03-01T11:15:00Z,0.824,N,170,1,174,1
03856KHSV,2021-03-01T11:16:00Z,0.782,N,174,1,169,2
03856KHSV,2021-03-01T11:17:00Z,0.595,N,178,2,182,2
03856KHSV,2021-03-01T11:18:00Z,0.516,N,180,2,177,2
03856KHSV,2021-03-01T11:19:00Z,0.468,N,177,1,178,2
03856KHSV,2021-03-01T11:20:00Z,0.51,N,171,1,157,1
03856KHSV,2021-03-01T11:21:00Z,0.548,N,167,1,179,1
03856KHSV,2021-03-01T11:22:00Z,0.603,N,172,1,170,1
03856KHSV,2021-03-01T11:23:00Z,0.619,N,173,1,164,2
03856KHSV,2021-03-01T11:24:00Z,0.644,N,161,2,147,2
03856KHSV,2021-03-01T11:25:00Z,0.591,N,150,2,150,2
03856KHSV,2021-03-01T11:26:00Z,0.535,N,148,2,145,3
03856KHSV,2021-03-01T11:27:00Z,0.526,N,149,3,151,3
03856KHSV,2021-03-01T11:28:00Z,0.463,N,149,3,146,3
03856KHSV,2021-03-01T11:29:00Z,0.412,N,143,3,138,3
03856KHSV,2021-03-01T11:30:00Z,0.371,N,137,3,136,4
03856KHSV,2021-03-01T11:31:00Z,0.317,N,135,3,134,4
03856KHSV,2021-03-01T11:32:00Z,0.296,N,136,3,136,3
03856KHSV,2021-03-01T11:33:00Z,0.258,N,137,3,138,3
03856KHSV,2021-03-01T11:34:00Z,0.245,N,136,3,133,3
03856KHSV,2021-03-01T11:35:00Z,0.252,N,134,3,133,3
03856KHSV,2021-03-01T11:36:00Z,0.236,N,133,3,131,3
03856KHSV,2021-03-01T11:37:00Z,0.226,N,132,3,131,3
03856KHSV,2021-03-01T11:38:00Z,0.226,N,130,3,129,3
03856KHSV,2021-03-01T11:39:00Z,0.238,N,128,3,128,3
03856KHSV,2021-03-01T11:40:00Z,0.214,N,130,2,133,2
03856KHSV,2021-03-01T11:41:00Z,0.24,N,135,2,137,2
03856KHSV,2021-03-01T11:42:00Z,0.247,N,137,2,139,2
03856KHSV,2021-03-01T11:43:00Z,0.32,N,136,2,132,2
03856KHSV,2021-03-01T11:44:00Z,0.316,N,131,2,128,2
03856KHSV,2021-03-01T11:45:00Z,0.296,N,129,2,129,2
03856KHSV,2021-03-01T11:46:00Z,0.293,N,128,2,129,3
03856KHSV,2021-03-01T11:47:00Z,0.3,N,128,2,123,3
03856KHSV,2021-03-01T11:48:00Z,0.288,N,126,2,129,3
03856KHSV,2021-03-01T11:49:00Z,0.31,N,129,3,138,3
03856KHSV,2021-03-01T11:50:00Z,0.284,N,138,3,144,3
03856KHSV,2021-03-01T11:51:00Z,0.271,N,145,3,142,3
03856KHSV,2021-03-01T11:52:00Z,0.257,N,151,3,155,3
03856KHSV,2021-03-01T11:53:00Z,0.254,N,156,3,162,4
03856KHSV,2021-03-01T11:54:00Z,0.239,N,163,3,163,4
03856KHSV,2021-03-01T11:55:00Z,0.231,N,167,3,166,3
03856KHSV,2021-03-01T11:56:00Z,0.211,N,168,3,168,3
03856KHSV,2021-03-01T11:57:00Z,0.191,N,175,3,174,3
03856KHSV,2021-03-01T11:58:00Z,0.201,N,185,2,188,3
03856KHSV,2021-03-01T11:59:00Z,0.197,N,186,2,183,3
03856KHSV,2021-03-01T12:00:00Z,0.198,N,183,3,182,3
03856KHSV,2021-03-01T12:01:00Z,0.202,N,185,3,182,3
03856KHSV,2021-03-01T12:02:00Z,0.192,N,191,3,196,3
03856KHSV,2021-03-01T12:03:00Z,0.199,N,199,3,204,4
03856KHSV,2021-03-01T12:04:00Z,0.228,N,206,4,213,4
03856KHSV,2021-03-01T12:05:00Z,0.222,N,210,4,211,5
03856KHSV,2021-03-01T12:06:00Z,0.242,N,211,5,211,5
03856KHSV,2021-03-01T12:07:00Z,0.251,N,214,5,215,6
03856KHSV,2021-03-01T12:08:00Z,0.269,N,215,5,211,6
03856KHSV,2021-03-01T12:09:00Z,0.271,N,215,6,217,6
03856KHSV,2021-03-01T12:10:00Z,0.28,N,215,5,218,6
03856KHSV,2021-03-01T12:11:00Z,0.26,N,216,5,221,6
03856KHSV,2021-03-01T12:12:00Z,0.272,N,217,5,215,5
03856KHSV,2021-03-01T12:13:00Z,0.281,N,217,4,219,5
03856KHSV,2021-03-01T12:14:00Z,0.259,N,217,4,223,4
03856KHSV,2021-03-01T12:15:00Z,0.26,N,219,3,218,3
03856KHSV,2021-03-01T12:16:00Z,0.256,N,222,2,218,3
03856KHSV,2021-03-01T12:17:00Z,0.261,N,217,2,224,2
03856KHSV,2021-03-01T12:18:00Z,0.268,N,206,1,198,2
03856KHSV,2021-03-01T12:19:00Z,0.304,N,193,1,189,2
03856KHSV,2021-03-01T12:20:00Z,0.308,N,183,1,185,2
03856KHSV,2021-03-01T12:21:00Z,0.33,N,179,2,178,2
03856KHSV,2021-03-01T12:22:00Z,0.321,N,179,1,199,1
03856KHSV,2021-03-01T12:23:00Z,0.364,N,184,1,194,1
03856KHSV,2021-03-01T12:24:00Z,0.36,N,181,1,178,1
03856KHSV,2021-03-01T12:25:00Z,0.324,N,178,1,184,1
03856KHSV,2021-03-01T12:26:00Z,0.323,N,179,1,166,1
03856KHSV,2021-03-01T12:27:00Z,0.309,N,171,1,164,1
03856KHSV,2021-03-01T12:28:00Z,0.272,N,169,1,174,2
03856KHSV,2021-03-01T12:29:00Z,0.247,N,179,1,180,2
03856KHSV,2021-03-01T12:30:00Z,0.23,N,182,1,185,2
03856KHSV,2021-03-01T12:31:00Z,0.224,N,178,1,177,2
03856KHSV,2021-03-01T12:32:00Z,0.221,N,175,1,177,2
03856KHSV,2021-03-01T12:33:00Z,0.206,N,178,1,181,2
03856KHSV,2021-03-01T12:34:00Z,0.186,N,181,1,183,2
03856KHSV,2021-03-01T12:35:00Z,0.179,N,183,1,189,2
03856KHSV,2021-03-01T12:36:00Z,0.165,N,187,1,193,1
03856KHSV,2021-03-01T12:37:00Z,0.155,N,194,1,199,1
03856KHSV,2021-03-01T12:38:00Z,0.145,N,203,1,211,2
03856KHSV,2021-03-01T12:39:00Z,0.139,N,205,1,201,2
03856KHSV,2021-03-01T12:40:00Z,0.15,N,202,2,199,2
03856KHSV,2021-03-01T12:41:00Z,0.153,N,201,2,197,2
03856KHSV,2021-03-01T12:42:00Z,0.172,N,205,2,212,2
03856KHSV,2021-03-01T12:43:00Z,0.179,N,207,2,200,3
03856KHSV,2021-03-01T12:44:00Z,0.182,N,205,2,202,3
03856KHSV,2021-03-01T12:45:00Z,0.171,N,206,3,207,3
03856KHSV,2021-03-01T12:46:00Z,0.177,N,209,3,215,4
03856KHSV,2021-03-01T12:47:00Z,0.159,N,212,4,213,5
03856KHSV,2021-03-01T12:48:00Z,0.163,N,216,4,218,5
03856KHSV,2021-03-01T12:49:00Z,0.156,N,218,5,218,5
03856KHSV,2021-03-01T12:50:00Z,0.146,N,218,5,219,6
