X1,X2,X3,X4,X5,X6,X7,X8
03856KHSV,2021-03-01T12:51:00Z,0.145,N,216,5,217,6
03856KHSV,2021-03-01T12:52:00Z,0.139,N,214,5,208,6
03856KHSV,2021-03-01T12:53:00Z,0.14,N,214,5,215,6
03856KHSV,2021-03-01T12:54:00Z,0.125,N,217,5,218,6
03856KHSV,2021-03-01T12:55:00Z,0.137,N,221,5,223,6
03856KHSV,2021-03-01T12:56:00Z,0.156,N,222,6,225,6
03856KHSV,2021-03-01T12:57:00Z,0.162,N,224,6,227,7
03856KHSV,2021-03-01T12:58:00Z,0.156,N,225,6,226,7
03856KHSV,2021-03-01T12:59:00Z,0.181,N,226,6,228,6
03856KHSV,2021-03-01T13:00:00Z,0.202,N,228,6,226,7
03856KHSV,2021-03-01T13:01:00Z,0.226,N,228,6,225,7
03856KHSV,2021-03-01T13:02:00Z,0.256,N,228,6,226,7
03856KHSV,2021-03-01T13:03:00Z,0.234,N,230,6,231,8
03856KHSV,2021-03-01T13:04:00Z,0.215,N,230,6,227,6
03856KHSV,2021-03-01T13:05:00Z,0.209,N,232,6,231,7
03856KHSV,2021-03-01T13:06:00Z,0.222,N,235,6,234,6
03856KHSV,2021-03-01T13:07:00Z,0.216,N,236,5,236,6
03856KHSV,2021-03-01T13:08:00Z,0.208,N,234,6,225,7
03856KHSV,2021-03-01T13:09:00Z,0.222,N,233,6,230,6
03856KHSV,2021-03-01T13:10:00Z,0.226,N,235,6,229,7
03856KHSV,2021-03-01T13:11:00Z,0.234,N,236,6,234,7
03856KHSV,2021-03-01T13:12:00Z,0.234,N,237,6,238,6
03856KHSV,2021-03-01T13:13:00Z,0.241,N,238,5,233,6
03856KHSV,2021-03-01T13:14:00Z,0.224,N,239,5,247,6
03856KHSV,2021-03-01T13:15:00Z,0.211,N,239,5,246,6
03856KHSV,2021-03-01T13:16:00Z,0.197,N,233,5,222,6
03856KHSV,2021-03-01T13:17:00Z,0.189,N,230,5,226,6
03856KHSV,2021-03-01T13:18:00Z,0.185,N,229,5,220,6
03856KHSV,2021-03-01T13:19:00Z,0.199,N,233,5,235,7
03856KHSV,2021-03-01T13:20:00Z,0.184,N,234,5,229,6
03856KHSV,2021-03-01T13:21:00Z,0.164,N,231,5,234,5
03856KHSV,2021-03-01T13:22:00Z,0.156,N,229,5,228,6
03856KHSV,2021-03-01T13:23:00Z,0.169,N,229,5,229,6
03856KHSV,2021-03-01T13:24:00Z,0.176,N,232,5,233,5
03856KHSV,2021-03-01T13:25:00Z,0.184,N,230,5,233,5
03856KHSV,2021-03-01T13:26:00Z,0.172,N,227,5,229,6
03856KHSV,2021-03-01T13:27:00Z,0.173,N,226,5,224,6
03856KHSV,2021-03-01T13:28:00Z,0.159,N,227,5,224,6
03856KHSV,2021-03-01T13:29:00Z,0.16,N,229,5,233,6
03856KHSV,2021-03-01T13:30:00Z,0.158,N,232,5,234,5
03856KHSV,2021-03-01T13:31:00Z,0.159,N,236,4,235,5
03856KHSV,2021-03-01T13:32:00Z,0.158,N,237,4,234,5
03856KHSV,2021-03-01T13:33:00Z,0.156,N,238,4,237,5
03856KHSV,2021-03-01T13:34:00Z,0.16,N,241,4,234,5
03856KHSV,2021-03-01T13:35:00Z,0.15,N,243,4,245,5
03856KHSV,2021-03-01T13:36:00Z,0.138,N,243,5,237,6
03856KHSV,2021-03-01T13:37:00Z,0.136,N,242,4,241,5
03856KHSV,2021-03-01T13:38:00Z,0.138,N,243,4,243,5
03856KHSV,2021-03-01T13:39:00Z,0.147,N,245,4,251,5
03856KHSV,2021-03-01T13:40:00Z,0.156,N,247,5,247,6
03856KHSV,2021-03-01T13:41:00Z,0.162,N,247,5,242,7
03856KHSV,2021-03-01T13:42:00Z,0.159,N,246,5,246,6
03856KHSV,2021-03-01T13:43:00Z,0.155,N,248,5,247,6
03856KHSV,2021-03-01T13:44:00Z,0.168,N,247,6,252,6
03856KHSV,2021-03-01T13:45:00Z,0.173,N,246,5,251,6
03856KHSV,2021-03-01T13:46:00Z,0.189,N,249,5,253,5
03856KHSV,2021-03-01T13:47:00Z,0.219,N,259,4,262,5
03856KHSV,2021-03-01T13:48:00Z,0.258,N,265,4,261,4
03856KHSV,2021-03-01T13:49:00Z,0.271,N,266,4,263,4
03856KHSV,2021-03-01T13:50:00Z,0.293,N,268,4,266,4
03856KHSV,2021-03-01T13:51:00Z,0.334,N,267,4,264,5
03856KHSV,2021-03-01T13:52:00Z,0.298,N,266,4,272,5
03856KHSV,2021-03-01T13:53:00Z,0.26,N,270,4,267,5
03856KHSV,2021-03-01T13:54:00Z,0.206,N,270,4,256,5
03856KHSV,2021-03-01T13:55:00Z,0.174,N,264,4,259,5
03856KHSV,2021-03-01T13:56:00Z,0.181,N,259,5,266,7
03856KHSV,2021-03-01T13:57:00Z,0.189,N,260,6,261,7
03856KHSV,2021-03-01T13:58:00Z,0.207,N,261,6,259,7
03856KHSV,2021-03-01T13:59:00Z,0.211,N,260,5,261,6
03856KHSV,2021-03-01T14:00:00Z,0.226,N,259,4,257,4
03856KHSV,2021-03-01T14:01:00Z,0.183,N,258,3,250,4
03856KHSV,2021-03-01T14:02:00Z,0.166,N,255,3,254,4
03856KHSV,2021-03-01T14:03:00Z,0.148,N,254,3,254,3
03856KHSV,2021-03-01T14:04:00Z,0.14,N,252,3,253,3
03856KHSV,2021-03-01T14:05:00Z,0.137,N,254,2,251,3
03856KHSV,2021-03-01T14:06:00Z,0.13,N,254,3,253,3
03856KHSV,2021-03-01T14:07:00Z,0.122,N,252,3,254,3
03856KHSV,2021-03-01T14:08:00Z,0.121,N,255,3,258,3
03856KHSV,2021-03-01T14:09:00Z,0.121,N,258,2,248,3
03856KHSV,2021-03-01T14:10:00Z,0.127,N,257,2,256,3
03856KHSV,2021-03-01T14:11:00Z,0.151,N,257,2,264,3
03856KHSV,2021-03-01T14:12:00Z,0.177,N,257,2,252,3
03856KHSV,2021-03-01T14:13:00Z,0.189,N,255,2,248,3
03856KHSV,2021-03-01T14:14:00Z,0.21,N,253,2,247,3
03856KHSV,2021-03-01T14:15:00Z,0.212,N,249,2,247,2
03856KHSV,2021-03-01T14:16:00Z,0.214,N,248,2,248,2
03856KHSV,2021-03-01T14:17:00Z,0.183,N,244,2,240,2
03856KHSV,2021-03-01T14:18:00Z,0.163,N,235,2,231,2
03856KHSV,2021-03-01T14:19:00Z,0.153,N,228,2,225,3
03856KHSV,2021-03-01T14:20:00Z,0.144,N,224,2,218,2
03856KHSV,2021-03-01T14:21:00Z,0.141,N,209,1,212,2
03856KHSV,2021-03-01T14:22:00Z,0.125,N,191,1,195,1
03856KHSV,2021-03-01T14:23:00Z,0.126,N,190,1,195,2
03856KHSV,2021-03-01T14:24:00Z,0.139,N,193,2,187,2
03856KHSV,2021-03-01T14:25:00Z,0.148,N,183,2,176,3
03856KHSV,2021-03-01T14:26:00Z,0.174,N,177,3,176,3
