Event ID,Operation ID,User ID,Equipment Type,Airport,Operation Time,Op Type,Num Ops,Segment#,Latitude,Longitude,Altitude AFE (ft),Altitude MSL (ft),unit-x,unit-y,unit-z,Segment Length (ft),Ground Track Distance (ft),Ground Speed (kt),Delta Speed (kt),Trajectory Mode,Net Corrected Thrust Per Engine (lb),Duration ,Fuel Burn (lb),CO (lb),THC (lb),TOG (lb),VOC (lb),NMHC (lb),NOx (lb),nvPM Mass (lb),nvPM Number,PMSO (lb),PMFO (lb),CO2 (lb),H2O (lb),SOx (lb),PM 2.5 (lb),PM 10 (lb)
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,13,38.380816,-76.268928,2855.9,2893.9,-0.7531,-0.651564,-0.091133,4634.4,153670.6,243.8,-18.8,Approach,-99,00:00:11.764,32.84,0.02,0,0,0,0,0.48,N/A,N/A,0,0,103.6,40.62,0.03,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,14,38.372504,-76.281168,2431.8,2469.8,-0.754908,-0.653129,-0.059462,2559.9,158305,225,-16,Approach,-99,00:00:07.002,19.68,0.01,0,0,0,0,0.29,N/A,N/A,0,0,62.08,24.34,0.02,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,15,38.367912,-76.287928,2279.3,2317.3,-0.754908,-0.653129,-0.059462,2371.1,160864.9,209,-16,Approach,-99,00:00:07.002,19.77,0.01,0,0,0,0,0.29,N/A,N/A,0,0,62.37,24.45,0.02,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,16,38.363658,-76.294189,2138.1,2176.1,-0.754908,-0.653129,-0.059462,2182.4,163236,193,-16,Approach,-99,00:00:07.002,19.86,0.01,0,0,0,0,0.29,N/A,N/A,0,0,62.64,24.56,0.02,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,17,38.359743,-76.299951,2008.1,2046.1,-0.754908,-0.653129,-0.059462,1078.9,165418.4,177,-8.7,Approach,-99,00:00:03.709,10.55,0.01,0,0,0,0,0.15,N/A,N/A,0,0,33.29,13.05,0.01,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,18,38.357807,-76.302799,1943.8,1981.8,-0.754908,-0.653129,-0.059462,914.7,166497.4,168.3,-7.3,Approach,-99,00:00:03.297,9.4,0.01,0,0,0,0,0.14,N/A,N/A,0,0,29.65,11.62,0.01,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,19,38.356166,-76.305214,1889.3,1927.3,-0.754908,-0.653129,-0.059462,1804.9,167412.1,161,-16,Approach,-99,00:00:07.002,20.01,0.01,0,0,0,0,0.29,N/A,N/A,0,0,63.13,24.75,0.02,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,20,38.352927,-76.309978,1781.8,1819.8,-0.754927,-0.653145,-0.059052,29583,169217,145,0,Approach,-99,00:02:01.090,349.71,0.25,0.04,0.05,0.05,0.05,5.1,N/A,N/A,0.01,0,1103.3,432.59,0.27,0.01,0.01
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,21,38.299819,-76.388006,31.8,69.8,-0.755591,-0.653719,-0.041631,250.7,198800,145,-16,Approach,-99,00:00:01.085,3.17,0,0,0,0,0,0.05,N/A,N/A,0,0,9.99,3.92,0,0,0
100017,6,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Approach,1,22,38.299368,-76.388667,21.4,59.4,-0.755591,-0.653719,-0.041631,221.3,199050.7,129,-16,Approach,-99,00:00:01.085,3.17,0,0,0,0,0,0.05,N/A,N/A,0,0,10.01,3.92,0,0,0
