aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
KC-135A,M03103,J57-P-59W,RM0310349F,MAX PWR WET,96.00,% RPM,13000.00,LBS/HR,2.79,EPR,FIXED,STATIC
KC-135R,M03104,F108-CF-100,RM0310404V,MIL PWR,90.00,% NF,98.00,% NC,7900.00,LBS/HR,VARIABLE,STATIC
KC-135R,M03104,F108-CF-100,RM0310413V,IDLE,18.90,% NF,56.50,% NC,650.00,LBS/HR,VARIABLE,STATIC
KC-135R,M03104,F108-CF-100,RM0310419V,80 % RPM ENG RUNUP,80.00,% NF,94.00,% NC,5600.00,LBS/HR,VARIABLE,STATIC
KC-135R,M03104,F108-CF-100,RM0310421V,70 % RPM ENG RUNUP,70.00,% NF,90.00,% NC,4000.00,LBS/HR,VARIABLE,STATIC
KC-135R,M03104,F108-CF-100,RM0310423V,60 % RPM ENG RUNUP,60.00,% NF,87.00,% NC,3000.00,LBS/HR,VARIABLE,STATIC
C-137,M03201,TF33-P-5,RM0320107V,TRIM CHECK,97.40,% RPM,1.60,EPR,"","",VARIABLE,STATIC
C-137,M03201,TF33-P-5,RM0320113V,IDLE,55.00,% RPM,1.05,EPR,"","",VARIABLE,STATIC
C-137,M03201,TF33-P-5,RM0320117V,90 % RPM ENG RUNUP,90.00,% RPM,1.27,EPR,"","",VARIABLE,STATIC
C-137,M03201,TF33-P-5,RM0320119V,80 % RPM ENG RUNUP,80.00,% RPM,1.11,EPR,"","",VARIABLE,STATIC
C-137,M03201,TF33-P-5,RM0320121V,70 % RPM ENG RUNUP,70.00,% RPM,1.06,EPR,"","",VARIABLE,STATIC
C-137,M03201,TF33-P-5,RM0320131V,MAX PWR,101.00,% RPM,1.80,EPR,"","",VARIABLE,STATIC
C-140,M03301,J60-P-5,RM0330104V,MIL PWR,100.00,% RPM,1.93,EPR,"","",VARIABLE,STATIC
C-140,M03301,J60-P-5,RM0330113V,IDLE,41.00,% RPM,1.03,EPR,"","",VARIABLE,STATIC
C-140,M03301,J60-P-5,RM0330118V,85 % RPM ENG RUNUP,85.00,% RPM,1.46,EPR,"","",VARIABLE,STATIC
C-140,M03301,J60-P-5,RM0330120V,75 % RPM ENG RUNUP,75.00,% RPM,1.25,EPR,"","",VARIABLE,STATIC
C-141A,M03401,TF33-P-7,RM0340113V,IDLE,28.00,% NF,1.04,EPR,1100.00,LBS/HR,VARIABLE,STATIC
C-141A,M03401,TF33-P-7,RM0340121V,70 % RPM ENG RUNUP,70.00,% NF,1.27,EPR,4100.00,LBS/HR,VARIABLE,STATIC
C-141A,M03401,TF33-P-7,RM0340130V,TAKEOFF PWR,95.00,% NF,1.85,EPR,10000.00,LBS/HR,VARIABLE,STATIC
E-3A,M03501,TF33-P-100A,RM0350113V,IDLE,1.05,EPR,28.00,% NF,1050.00,LBS/HR,VARIABLE,STATIC
E-3A,M03501,TF33-P-100A,RM0350118V,85 % RPM ENG RUNUP,1.47,EPR,85.00,% NF,6750.00,LBS/HR,VARIABLE,STATIC
E-3A,M03501,TF33-P-100A,RM0350121V,70 % RPM ENG RUNUP,1.23,EPR,70.00,% NF,4100.00,LBS/HR,VARIABLE,STATIC
E-3A,M03501,TF33-P-100A,RM0350130V,TAKEOFF PWR,1.84,EPR,95.00,% NF,10000.00,LBS/HR,VARIABLE,STATIC
E-4,M03601,CF6-50C2,RM0360105V,MAX CONT PWR,103.00,% N1,820.00,C EGT,17100.00,LBS/HR,VARIABLE,STATIC
E-4,M03601,CF6-50C2,RM0360113V,IDLE,24.00,% N1,406.00,C EGT,1360.00,LBS/HR,VARIABLE,STATIC
E-4,M03601,CF6-50C2,RM0360116V,95 % RPM ENG RUNUP,95.00,% N1,750.00,C EGT,13000.00,LBS/HR,VARIABLE,STATIC
E-4,M03601,CF6-50C2,RM0360121V,70 % RPM ENG RUNUP,70.00,% N1,530.00,C EGT,5700.00,LBS/HR,VARIABLE,STATIC
E-4,M03601,CF6-50C2,RM0360130V,TAKEOFF PWR,111.00,% N1,908.00,C EGT,20000.00,LBS/HR,VARIABLE,STATIC
E-4,M03601,CF6-50C2,RM0360157V,45 % RPM ENG RUNUP,45.00,% N1,445.00,C EGT,2800.00,LBS/HR,VARIABLE,STATIC
EA-6B,M03701,J52-P-408,RM0370104V,MIL PWR,99.00,% RPM,650.00,C EGT,8000.00,LBS/HR,VARIABLE,STATIC
EA-6B,M03701,J52-P-408,RM0370113V,IDLE,60.00,% RPM,250.00,C EGT,800.00,LBS/HR,VARIABLE,STATIC
EA-6B,M03701,J52-P-408,RM0370120V,75 % RPM ENG RUNUP,75.00,% RPM,300.00,C EGT,1500.00,LBS/HR,VARIABLE,STATIC
E-8A,M03801,TF33-P-102A,RM0380107V,TRIM CHECK,1.63,EPR,97.00,% RPM,7800.00,LBS/HR,VARIABLE,STATIC
E-8A,M03801,TF33-P-102A,RM0380113V,IDLE,1.06,EPR,57.00,% RPM,1200.00,LBS/HR,VARIABLE,STATIC
E-8A,M03801,TF33-P-102A,RM0380117V,90 % RPM ENG RUNUP,1.33,EPR,90.00,% RPM,4900.00,LBS/HR,VARIABLE,STATIC
E-8A,M03801,TF33-P-102A,RM0380119V,80 % RPM ENG RUNUP,1.10,EPR,80.00,% RPM,2400.00,LBS/HR,VARIABLE,STATIC
E-8A,M03801,TF33-P-102A,RM0380121V,70 % RPM ENG RUNUP,1.07,EPR,70.00,% RPM,1600.00,LBS/HR,VARIABLE,STATIC
E-8A,M03801,TF33-P-102A,RM0380131V,MAX PWR,1.84,EPR,100.00,% RPM,10000.00,LBS/HR,VARIABLE,STATIC
F-4C,M03901,J79-GE-15E or -15,RM0390103F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
F-4C,M03901,J79-GE-15E or -15,RM0390104V,MIL PWR,100.00,% RPM,"","","","",VARIABLE,STATIC
F-4C,M03901,J79-GE-15E or -15,RM0390113V,IDLE,65.00,% RPM,"","","","",VARIABLE,STATIC
F-4C,M03901,J79-GE-15E or -15,RM0390118V,85 % RPM ENG RUNUP,85.00,% RPM,"","","","",VARIABLE,STATIC
F-4,M03903,J79-GE-15,RM0390303F,MAX PWR A/B,99.00,% RPM,650.00,C EGT,7000.00,LBS/HR,FIXED,STATIC
F-4,M03903,J79-GE-15,RM0390304V,MIL PWR,99.00,% RPM,650.00,C EGT,7000.00,LBS/HR,VARIABLE,STATIC
F-4,M03903,J79-GE-15,RM0390313V,IDLE,65.00,% RPM,380.00,C EGT,1100.00,LBS/HR,VARIABLE,STATIC
F-4,M03903,J79-GE-15,RM0390318V,85 % RPM ENG RUNUP,85.00,% RPM,440.00,C EGT,3000.00,LBS/HR,VARIABLE,STATIC
F-4,M03904,J79-GE-15,RM0390403F,MAX PWR A/B,98.50,% RPM,660.00,C EGT,"","",FIXED,STATIC
F-4,M03904,J79-GE-15,RM0390404V,MIL PWR,98.50,% RPM,660.00,C EGT,"","",VARIABLE,STATIC
F-4,M03904,J79-GE-15,RM0390418V,85 % RPM ENG RUNUP,85.00,% RPM,400.00,C EGT,"","",VARIABLE,STATIC
F-5A&B,M04001,J85-GE-13,RM0400103F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
F-5A&B,M04001,J85-GE-13,RM0400104V,MIL PWR,100.00,% RPM,"","","","",VARIABLE,STATIC
F-5A&B,M04001,J85-GE-13,RM0400113V,IDLE,50.00,% RPM,"","","","",VARIABLE,STATIC
F-5A&B,M04001,J85-GE-13,RM0400119V,80 % RPM ENG RUNUP,80.00,% RPM,"","","","",VARIABLE,STATIC
F-5E,M04002,J85-GE-21,RM0400203F,MAX PWR A/B,100.00,% RPM,670.00,C EGT,10000.00,LBS/HR,FIXED,STATIC
F-5E,M04002,J85-GE-21,RM0400204V,MIL PWR,100.00,% RPM,670.00,C EGT,3150.00,LBS/HR,VARIABLE,STATIC
F-5E,M04002,J85-GE-21,RM0400213V,IDLE,50.00,% RPM,395.00,C EGT,500.00,LBS/HR,VARIABLE,STATIC
F-5E,M04002,J85-GE-21,RM0400219V,80 % RPM ENG RUNUP,80.00,% RPM,340.00,C EGT,900.00,LBS/HR,VARIABLE,STATIC
F-5,M04003,J85-GE-13,RM0400303F,MAX PWR A/B,101.00,% RPM,670.00,C EGT,"","",FIXED,STATIC
F-5,M04003,J85-GE-13,RM0400304V,MIL PWR,101.00,% RPM,670.00,C EGT,"","",VARIABLE,STATIC
F-5,M04003,J85-GE-13,RM0400319V,80 % RPM ENG RUNUP,80.00,% RPM,400.00,C EGT,"","",VARIABLE,STATIC
F-8,M04101,J57-P-20,RM0410103F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
F-8,M04101,J57-P-20,RM0410104V,MIL PWR,97.00,% RPM,"","","","",VARIABLE,STATIC
F-8,M04101,J57-P-20,RM0410113V,IDLE,53.00,% RPM,"","","","",VARIABLE,STATIC
F-8,M04101,J57-P-20,RM0410121V,70 % RPM ENG RUNUP,70.00,% RPM,"","","","",VARIABLE,STATIC
F-14A,M04201,TF30-P-412A/412,RM0420102F,MAX PWR ZONE 3 A/B,102.00,% NC,11500.00,LBS/HR,"","",FIXED,STATIC
F-14A,M04201,TF30-P-412A/412,RM0420104V,MIL PWR,102.00,% NC,10000.00,LBS/HR,"","",VARIABLE,STATIC
F-14A,M04201,TF30-P-412A/412,RM0420113V,IDLE,70.00,% NC,950.00,LBS/HR,"","",VARIABLE,STATIC
F-14A,M04201,TF30-P-412A/412,RM0420118V,85 % RPM ENG RUNUP,85.00,% NC,2500.00,LBS/HR,"","",VARIABLE,STATIC
F-14A,M04201,TF30-P-412A/412,RM0420119V,80 % RPM ENG RUNUP,80.00,% NC,1600.00,LBS/HR,"","",VARIABLE,STATIC
F-14A,M04201,TF30-P-412A/412,RM0420142F,MIN PWR A/B,102.10,% NC,11000.00,LBS/HR,"","",FIXED,STATIC
F-14B,M04202,F110-GE-400,RM0420204V,MIL PWR,102.00,% NC,10800.00,LBS/HR,"","",VARIABLE,STATIC
F-14B,M04202,F110-GE-400,RM0420209V,POWER RUNUP,86.00,% NC,2800.00,LBS/HR,"","",VARIABLE,STATIC
F-14B,M04202,F110-GE-400,RM0420213V,IDLE,74.00,% NC,1100.00,LBS/HR,"","",VARIABLE,STATIC
F-14B,M04202,F110-GE-400,RM0420242F,MIN PWR A/B,102.00,% NC,11500.00,LBS/HR,"","",FIXED,STATIC
F-15A,M04301,F100-PW-100,RM0430101F,MAX PWR ZONE 5 A/B,90.00,% NC,930.00,C FTIT,39200.00,LBS/HR,FIXED,STATIC
F-15A,M04301,F100-PW-100,RM0430106V,INTERMED PWR (MIL),90.00,% NC,930.00,C FTIT,7850.00,LBS/HR,VARIABLE,STATIC
F-15A,M04301,F100-PW-100,RM0430113V,IDLE,63.00,% NC,395.00,C FTIT,950.00,LBS/HR,VARIABLE,STATIC
F-15A,M04301,F100-PW-100,RM0430119V,80 % RPM ENG RUNUP,80.00,% NC,690.00,C FTIT,4150.00,LBS/HR,VARIABLE,STATIC
F-15E,M04303,F100-PW-220,RM0430301F,MAX PWR ZONE 5 A/B,90.00,% NC,930.00,C FTIT,39200.00,LBS/HR,FIXED,STATIC
F-15E,M04303,F100-PW-220,RM0430306V,INTERMED PWR (MIL),90.00,% NC,930.00,C FTIT,7850.00,LBS/HR,VARIABLE,STATIC
F-15E,M04303,F100-PW-220,RM0430313V,IDLE,63.00,% NC,395.00,C FTIT,950.00,LBS/HR,VARIABLE,STATIC
F-15E,M04303,F100-PW-220,RM0430319V,80 % RPM ENG RUNUP,80.00,% NC,690.00,C FTIT,4150.00,LBS/HR,VARIABLE,STATIC
F-15E,M04304,F100-PW-229,RM0430401F,MAX PWR ZONE 5 A/B,90.00,% NC,930.00,C FTIT,39200.00,LBS/HR,FIXED,STATIC
F-15E,M04304,F100-PW-229,RM0430406V,INTERMED PWR (MIL),90.00,% NC,930.00,C FTIT,7850.00,LBS/HR,VARIABLE,STATIC
F-15E,M04304,F100-PW-229,RM0430413V,IDLE,63.00,% NC,395.00,C FTIT,950.00,LBS/HR,VARIABLE,STATIC
F-15E,M04304,F100-PW-229,RM0430419V,80 % RPM ENG RUNUP,80.00,% NC,690.00,C FTIT,4150.00,LBS/HR,VARIABLE,STATIC
F-15,M04305,F100-PW-100,RM0430503F,MAX PWR A/B,92.00,% RPM,37000.00,LBS/HR,915.00,C TIT,FIXED,STATIC
F-15,M04305,F100-PW-100,RM0430504V,MIL PWR,92.00,% RPM,8700.00,LBS/HR,915.00,C TIT,VARIABLE,STATIC
F-15,M04305,F100-PW-100,RM0430513V,IDLE,68.00,% RPM,1100.00,LBS/HR,420.00,C TIT,VARIABLE,STATIC
F-15,M04305,F100-PW-100,RM0430519V,80 % RPM ENG RUNUP,80.00,% RPM,4600.00,LBS/HR,815.00,C TIT,VARIABLE,STATIC
F-15,M04306,F100-PW-100,RM0430603F,MAX PWR A/B,91.00,% RPM,940.00,C TIT,36900.00,PPH FF,FIXED,STATIC
F-15,M04306,F100-PW-100,RM0430604V,MIL PWR,91.00,% RPM,940.00,C TIT,7200.00,PPH FF,VARIABLE,STATIC
F-15,M04306,F100-PW-100,RM0430619V,80 % RPM ENG RUNUP,80.00,% RPM,690.00,C TIT,3200.00,PPH FF,VARIABLE,STATIC
F-16A,M04401,F100-PW-100,RM0440101F,MAX PWR ZONE 5 A/B,89.00,% NC,950.00,C TIT,"","",FIXED,STATIC
F-16A,M04401,F100-PW-100,RM0440106V,INTERMED PWR (MIL),90.00,% NC,934.00,C TIT,"","",VARIABLE,STATIC
F-16A,M04401,F100-PW-100,RM0440113V,IDLE,62.00,% NC,483.00,C TIT,"","",VARIABLE,STATIC
F-16A,M04401,F100-PW-100,RM0440119V,80 % RPM ENG RUNUP,80.00,% NC,620.00,C TIT,"","",VARIABLE,STATIC
F-16C,M04402,F100-PW-220,RM0440203F,MAX PWR A/B,92.00,% NC,38800.00,LBS/HR,935.00,C FTIT,FIXED,STATIC
F-16C,M04402,F100-PW-220,RM0440204V,MIL PWR,91.50,% NC,8000.00,LBS/HR,935.00,C FTIT,VARIABLE,STATIC
F-16C,M04402,F100-PW-220,RM0440213V,IDLE,67.00,% NC,750.00,LBS/HR,445.00,C FTIT,VARIABLE,STATIC
F-16C,M04402,F100-PW-220,RM0440219V,80 % RPM ENG RUNUP,80.00,% NC,2850.00,LBS/HR,600.00,C FTIT,VARIABLE,STATIC
F-16C,M04403,F100-PW-229,RM0440303F,MAX PWR A/B,95.00,% NC,38800.00,LBS/HR,1050.00,C FTIT,FIXED,STATIC
F-16C,M04403,F100-PW-229,RM0440304V,MIL PWR,94.00,% NC,9750.00,LBS/HR,1025.00,C FTIT,VARIABLE,STATIC
F-16C,M04403,F100-PW-229,RM0440313V,IDLE,74.00,% NC,1450.00,LBS/HR,460.00,C FTIT,VARIABLE,STATIC
F-16C,M04403,F100-PW-229,RM0440319V,80 % RPM ENG RUNUP,80.00,% NC,2300.00,LBS/HR,540.00,C FTIT,VARIABLE,STATIC
F-16C,M04404,F110-GE-100,RM0440403F,MAX PWR A/B,104.00,% NC,40500.00,LBS/HR,790.00,C FTIT,FIXED,STATIC
F-16C,M04404,F110-GE-100,RM0440404V,MIL PWR,103.00,% NC,9450.00,LBS/HR,775.00,C FTIT,VARIABLE,STATIC
F-16C,M04404,F110-GE-100,RM0440413V,IDLE,74.00,% NC,1350.00,LBS/HR,450.00,C FTIT,VARIABLE,STATIC
F-16C,M04404,F110-GE-100,RM0440419V,80 % RPM ENG RUNUP,80.00,% NC,2000.00,LBS/HR,460.00,C FTIT,VARIABLE,STATIC
F-16C,M04405,F110-GE-129,RM0440503F,MAX PWR A/B,100.00,% NC,41850.00,LBS/HR,870.00,C FTIT,FIXED,STATIC
F-16C,M04405,F110-GE-129,RM0440504V,MIL PWR,99.00,% NC,9600.00,LBS/HR,860.00,C FTIT,VARIABLE,STATIC
F-16C,M04405,F110-GE-129,RM0440513V,IDLE,69.00,% NC,900.00,LBS/HR,510.00,C FTIT,VARIABLE,STATIC
F-16C,M04405,F110-GE-129,RM0440519V,80 % RPM ENG RUNUP,80.00,% NC,1250.00,LBS/HR,540.00,C FTIT,VARIABLE,STATIC
F-16,M04406,F100-PW-100,RM0440603F,MAX PWR A/B,92.00,% RPM,37300.00,LBS/HR,925.00,C TIT,FIXED,STATIC
F-16,M04406,F100-PW-100,RM0440604V,MIL PWR,92.00,% RPM,7200.00,LBS/HR,925.00,C TIT,VARIABLE,STATIC
F-16,M04406,F100-PW-100,RM0440613V,IDLE,68.00,% RPM,1000.00,LBS/HR,450.00,C TIT,VARIABLE,STATIC
F-16,M04406,F100-PW-100,RM0440619V,80 % RPM ENG RUNUP,80.00,% RPM,4500.00,LBS/HR,820.00,C TIT,VARIABLE,STATIC
F-16,M04407,F100-PW-100,RM0440703F,MAX PWR A/B,91.00,% N2,38000.00,LBS/HR,920.00,FTIT,FIXED,STATIC
F-16,M04407,F100-PW-100,RM0440704V,MIL PWR,91.00,% N2,8150.00,LBS/HR,920.00,FTIT,VARIABLE,STATIC
F-16,M04407,F100-PW-100,RM0440713V,IDLE,65.00,% N2,850.00,LBS/HR,440.00,FTIT,VARIABLE,STATIC
F-16,M04407,F100-PW-100,RM0440719V,80 % RPM ENG RUNUP,80.00,% N2,3600.00,LBS/HR,650.00,FTIT,VARIABLE,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450103F,MAX PWR A/B,95.10,% NC,"","","","",FIXED,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450104V,MIL PWR,94.00,% NC,"","","","",VARIABLE,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450113V,IDLE,63.00,% NC,"","","","",VARIABLE,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450117V,90 % RPM ENG RUNUP,90.00,% NC,"","","","",VARIABLE,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450118V,85 % RPM ENG RUNUP,85.00,% NC,"","","","",VARIABLE,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450119V,80 % RPM ENG RUNUP,80.00,% NC,"","","","",VARIABLE,STATIC
F-18A/C,M04501,F404-GE-400&402,RM0450142F,MIN PWR A/B,95.00,% NC,"","","","",FIXED,STATIC
F-18E/F,M04502,F414-GE-400,RM0450203F,MAX PWR A/B,98.00,% NC,45000.00,LBS/HR,"","",FIXED,STATIC
F-18E/F,M04502,F414-GE-400,RM0450204V,MIL PWR,96.00,% NC,12570.00,LBS/HR,"","",VARIABLE,STATIC
F-18E/F,M04502,F414-GE-400,RM0450213V,IDLE,65.00,% NC,750.00,LBS/HR,"","",VARIABLE,STATIC
F-18E/F,M04502,F414-GE-400,RM0450219V,80 % PWR,80.00,% NC,2910.00,LBS/HR,"","",VARIABLE,STATIC
F-18E/F,M04502,F414-GE-400,RM0450242F,Min PWR A/B,97.00,% NC,43150.00,LBS/HR,"","",FIXED,STATIC
F-22,M08501,F119-PW-100,RM0850103F,MAX PWR A/B,150.00,% ETR,"","","","",FIXED,STATIC
F-22,M08501,F119-PW-100,RM0850104V,MIL PWR,100.00,% ETR,"","","","",VARIABLE,STATIC
F-22,M08501,F119-PW-100,RM0850113V,IDLE,10.00,% ETR,"","","","",VARIABLE,STATIC
F-22,M08501,F119-PW-100,RM0850125V,50% ETR,50.00,% ETR,"","","","",VARIABLE,STATIC
X-35,M08601,JSF119-PW-611,RM0860103F,MAX PWR A/B,150.00,% ETR,"","","","",FIXED,STATIC
X-35,M08601,JSF119-PW-611,RM0860104V,MIL PWR,99.00,% ETR,"","","","",VARIABLE,STATIC
X-35,M08601,JSF119-PW-611,RM0860113V,IDLE,10.00,% ETR,"","","","",VARIABLE,STATIC
X-35,M08601,JSF119-PW-611,RM0860125V,50% ETR,50.00,% ETR,"","","","",VARIABLE,STATIC
T-6,M08701,PT6A-68,RM0870113V,IDLE,60.00,% N1,40.00,% Torque,155.00,LBS/HR,VARIABLE,STATIC
T-6,M08701,PT6A-68,RM0870170V,50 % TORQUE,90.00,% N1,50.00,% Torque,400.00,LBS/HR,VARIABLE,STATIC
T-6,M08701,PT6A-68,RM0870171V,80 % TORQUE,96.00,% N1,80.00,% Torque,520.00,LBS/HR,VARIABLE,STATIC
T-6,M08701,PT6A-68,RM0870172V,90 % TORQUE,97.00,% N1,90.00,% Torque,565.00,LBS/HR,VARIABLE,STATIC
T-6,M08701,PT6A-68,RM0870173V,95 % TORQUE,98.00,% N1,95.00,% Torque,580.00,LBS/HR,VARIABLE,STATIC
T-6,M08701,PT6A-68,RM0870174V,100 % TORQUE,98.10,% N1,100.00,% Torque,615.00,LBS/HR,VARIABLE,STATIC
T-38C,M08801,J-85R-GE-5,RM0880103F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
T-38C,M08801,J-85R-GE-5,RM0880104V,MIL PWR,100.00,% RPM,"","","","",VARIABLE,STATIC
T-38C,M08801,J-85R-GE-5,RM0880113V,IDLE,48.00,% RPM,"","","","",VARIABLE,STATIC
T-38C,M08801,J-85R-GE-5,RM0880118V,85 % RPM ENG RUNUP,85.00,% RPM,"","","","",VARIABLE,STATIC
F-35AA,M08901,F-135PP,RM0890103F,MAX PWR A/B,150.00,% ETR,"","","","",FIXED,STATIC
F-35AA,M08901,F-135PP,RM0890142F,Min PWR A/B,130.00,% ETR,"","","","",FIXED,STATIC
F-35AA,M08901,F-135PP,RM0890104V,MIL PWR,100.00,% ETR,"","","","",VARIABLE,STATIC
F-35AA,M08901,F-135PP,RM0890120V,75% ETR,75.00,% ETR,"","","","",VARIABLE,STATIC
F-35AA,M08901,F-135PP,RM0890125V,50% ETR,50.00,% ETR,"","","","",VARIABLE,STATIC
F-35AA,M08901,F-135PP,RM0890143V,25% ETR,25.00,% ETR,"","","","",VARIABLE,STATIC
F-100D,M04601,J57-P-21A,RM0460103F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
F-100D,M04601,J57-P-21A,RM0460104V,MIL PWR,97.00,% RPM,"","","","",VARIABLE,STATIC
F-100D,M04601,J57-P-21A,RM0460113V,IDLE,53.00,% RPM,"","","","",VARIABLE,STATIC
F-100D,M04601,J57-P-21A,RM0460121V,70 % RPM ENG RUNUP,70.00,% RPM,"","","","",VARIABLE,STATIC
F-100,M04602,J57-P-21A,RM0460203F,MAX PWR A/B,97.00,% RPM,"","","","",FIXED,STATIC
F-100,M04602,J57-P-21A,RM0460204V,MIL PWR,97.00,% RPM,"","","","",VARIABLE,STATIC
F-100,M04602,J57-P-21A,RM0460213V,IDLE,53.00,% RPM,"","","","",VARIABLE,STATIC
F-100,M04602,J57-P-21A,RM0460221V,70 % RPM ENG RUNUP,70.00,% RPM,"","","","",VARIABLE,STATIC
F-101B,M04701,J57-P-55,RM0470103F,MAX PWR A/B,96.00,% NC,2.04,EPR,"","",FIXED,STATIC
F-101B,M04701,J57-P-55,RM0470104V,MIL PWR,95.50,% NC,2.10,EPR,7600.00,LBS/HR,VARIABLE,STATIC
F-101B,M04701,J57-P-55,RM0470113V,IDLE,62.00,% NC,1.01,EPR,1150.00,LBS/HR,VARIABLE,STATIC
F-101B,M04701,J57-P-55,RM0470117V,90 % RPM ENG RUNUP,90.00,% NC,1.58,EPR,4350.00,LBS/HR,VARIABLE,STATIC
F-101B,M04701,J57-P-55,RM0470119V,80 % RPM ENG RUNUP,80.00,% NC,1.25,EPR,2450.00,LBS/HR,VARIABLE,STATIC
F-102,M04801,J57-P-23A,RM0480103F,MAX PWR A/B,96.00,% NC,2.14,EPR,"","",FIXED,STATIC
F-102,M04801,J57-P-23A,RM0480104V,MIL PWR,96.00,% NC,2.13,EPR,8500.00,LBS/HR,VARIABLE,STATIC
F-102,M04801,J57-P-23A,RM0480113V,IDLE,57.00,% NC,1.01,EPR,1100.00,LBS/HR,VARIABLE,STATIC
F-102,M04801,J57-P-23A,RM0480118V,85 % RPM ENG RUNUP,85.00,% NC,1.43,EPR,3500.00,LBS/HR,VARIABLE,STATIC
F-102,M04801,J57-P-23A,RM0480120V,75 % RPM ENG RUNUP,75.00,% NC,1.19,EPR,2000.00,LBS/HR,VARIABLE,STATIC
F-104D&G,M04901,J79-GE-11A/J79-GE-7,RM0490103F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
F-104D&G,M04901,J79-GE-11A/J79-GE-7,RM0490104V,MIL PWR,100.00,% RPM,"","","","",VARIABLE,STATIC
F-104D&G,M04901,J79-GE-11A/J79-GE-7,RM0490113V,IDLE,67.00,% RPM,"","","","",VARIABLE,STATIC
F-104D&G,M04901,J79-GE-11A/J79-GE-7,RM0490118V,85 % RPM ENG RUNUP,85.00,% RPM,"","","","",VARIABLE,STATIC
F-105D,M05001,J75-P-19W,RM0500103F,MAX PWR A/B,102.00,% NC,2.41,EPR,"","",FIXED,STATIC
F-105D,M05001,J75-P-19W,RM0500104V,MIL PWR,102.00,% NC,2.41,EPR,11000.00,LBS/HR,VARIABLE,STATIC
F-105D,M05001,J75-P-19W,RM0500113V,IDLE,69.00,% NC,1.17,EPR,1700.00,LBS/HR,VARIABLE,STATIC
F-105D,M05001,J75-P-19W,RM0500117V,90 % RPM ENG RUNUP,90.00,% NC,1.68,EPR,5550.00,LBS/HR,VARIABLE,STATIC
F-105D,M05001,J75-P-19W,RM0500119V,80 % RPM ENG RUNUP,80.00,% NC,1.30,EPR,2800.00,LBS/HR,VARIABLE,STATIC
F-105,M05002,J75-P-19,RM0500203F,MAX PWR A/B,103.00,% RPM,2.43,EPR,"","",FIXED,STATIC
F-105,M05002,J75-P-19,RM0500204V,MIL PWR,103.00,% RPM,2.35,EPR,"","",VARIABLE,STATIC
F-105,M05002,J75-P-19,RM0500217V,90 % RPM ENG RUNUP,90.00,% RPM,1.68,EPR,"","",VARIABLE,STATIC
F-106,M05101,J75-P-17,RM0510103F,MAX PWR A/B,102.00,% RPM,"","","","",FIXED,STATIC
F-106,M05101,J75-P-17,RM0510104V,MIL PWR,102.00,% RPM,"","","","",VARIABLE,STATIC
F-106,M05101,J75-P-17,RM0510113V,IDLE,59.00,% RPM,"","","","",VARIABLE,STATIC
F-106,M05101,J75-P-17,RM0510116V,95 % RPM ENG RUNUP,95.00,% RPM,"","","","",VARIABLE,STATIC
F-106,M05101,J75-P-17,RM0510118V,85 % RPM ENG RUNUP,85.00,% RPM,"","","","",VARIABLE,STATIC
F-106,M05102,J75-P-17,RM0510203F,MAX PWR A/B,100.00,% RPM,1.99,EPR,9000.00,LBS/HR,FIXED,STATIC
F-106,M05102,J75-P-17,RM0510204V,MIL PWR,100.00,% RPM,1.99,EPR,9000.00,LBS/HR,VARIABLE,STATIC
F-106,M05102,J75-P-17,RM0510216V,95 % RPM ENG RUNUP,95.00,% RPM,1.65,EPR,6000.00,LBS/HR,VARIABLE,STATIC
F-106,M05102,J75-P-17,RM0510218V,85 % RPM ENG RUNUP,85.00,% RPM,1.31,EPR,3100.00,LBS/HR,VARIABLE,STATIC
F-106,M05103,J75-P-17,RM0510303F,MAX PWR A/B,100.00,% RPM,2.18,EPR,"","",FIXED,STATIC
F-106,M05103,J75-P-17,RM0510304V,MIL PWR,100.00,% RPM,2.18,EPR,10500.00,LBS/HR,VARIABLE,STATIC
F-106,M05103,J75-P-17,RM0510313V,IDLE,59.00,% RPM,1.20,EPR,1600.00,LBS/HR,VARIABLE,STATIC
F-106,M05103,J75-P-17,RM0510316V,95 % RPM ENG RUNUP,95.00,% RPM,2.00,EPR,10000.00,LBS/HR,VARIABLE,STATIC
F-106,M05103,J75-P-17,RM0510318V,85 % RPM ENG RUNUP,85.00,% RPM,1.85,EPR,2400.00,LBS/HR,VARIABLE,STATIC
