aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
A-7,M00602,TF41-A-1,RM0060213V,IDLE,55.00,% RPM,1000.00,LBS/HR,"","",VARIABLE,STATIC
A-7,M00602,TF41-A-1,RM0060218V,85 % RPM ENG RUNUP,85.00,% RPM,3200.00,LBS/HR,"","",VARIABLE,STATIC
A-7,M00602,TF41-A-1,RM0060221V,70 % RPM ENG RUNUP,70.00,% RPM,1500.00,LBS/HR,"","",VARIABLE,STATIC
A-7,M00603,TF41-A-1,RM0060304V,MIL PWR,97.70,% RPM,9000.00,LBS/HR,572.00,C EGT,VARIABLE,STATIC
A-7,M00603,TF41-A-1,RM0060309V,POWER RUNUP,70.00,% RPM,1600.00,LBS/HR,416.00,C EGT,VARIABLE,STATIC
A-7,M00603,TF41-A-1,RM0060313V,IDLE,54.40,% RPM,1000.00,LBS/HR,438.00,C EGT,VARIABLE,STATIC
A-7,M00603,TF41-A-1,RM0060318V,85 % RPM ENG RUNUP,85.60,% RPM,3700.00,LBS/HR,400.00,C EGT,VARIABLE,STATIC
AV-8A,M00701,F402-RR-401,RM0070113V,IDLE,27.00,% RPM,325.00,C EGT,1200.00,LBS/HR,VARIABLE,STATIC
AV-8A,M00701,F402-RR-401,RM0070124V,55 % RPM ENG RUNUP,55.00,% RPM,350.00,C EGT,2820.00,LBS/HR,VARIABLE,STATIC
AV-8A,M00701,F402-RR-401,RM0070126V,50 FT HOVER,98.00,% RPM,680.00,C EGT,12360.00,LBS/HR,VARIABLE,STATIC
AV-8B,M00702,F402-RR-405,RM0070205V,MAX CONT PWR,95.00,% RPM,11400.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00702,F402-RR-405,RM0070213V,IDLE,27.00,% RPM,1200.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00702,F402-RR-405,RM0070218V,85 % RPM ENG RUNUP,85.00,% RPM,7920.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00702,F402-RR-405,RM0070221V,70 % RPM ENG RUNUP,70.00,% RPM,4800.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00702,F402-RR-405,RM0070224V,55 % RPM ENG RUNUP,55.00,% RPM,2880.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00703,F402-RR-408,RM0070313V,IDLE,29.00,% RPM,1260.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00703,F402-RR-408,RM0070312V,40% RPM ENG RUNUP,40.00,% RPM,1650.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00703,F402-RR-408,RM0070323V,60% RPM ENG RUNUP,60.00,% RPM,2790.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00703,F402-RR-408,RM0070304V,MIL POWER ENG RUNUP,114.00,% RPM,14340.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00703,F402-RR-408,RM0070399V,100 FT HOVER,107.00,% RPM,13800.00,LBS/HR,"","",VARIABLE,STATIC
AV-8B,M00703,F402-RR-408,RM0070326V,50 FT HOVER,112.00,% RPM,14940.00,LBS/HR,"","",VARIABLE,STATIC
A-10A,M00901,TF34-GE-100,RM0090105V,MAX CONT PWR,5475.00,NF,91.00,% NC,2100.00,LBS/HR,VARIABLE,STATIC
A-10A,M00901,TF34-GE-100,RM0090113V,IDLE,1778.00,NF,64.00,% NC,400.00,LBS/HR,VARIABLE,STATIC
A-10A,M00901,TF34-GE-100,RM0090130V,TAKEOFF PWR,5970.00,NF,95.00,% NC,2750.00,LBS/HR,VARIABLE,STATIC
A-37,M01001,J85-GE-17A,RM0100104V,MIL PWR,100.00,% RPM,574.00,C EGT,2250.00,LBS/HR,VARIABLE,STATIC
A-37,M01001,J85-GE-17A,RM0100113V,IDLE,46.00,% RPM,355.00,C EGT,495.00,LBS/HR,VARIABLE,STATIC
A-37,M01001,J85-GE-17A,RM0100118V,85 % RPM ENG RUNUP,85.00,% RPM,490.00,C EGT,1250.00,LBS/HR,VARIABLE,STATIC
C-123K,M01101,"R-2800-99W, J85-17",RM0110108V,MAGNETO CHECK,2200.00,RPM,22.00,IN HG,"","",VARIABLE,STATIC
C-123K,M01101,"R-2800-99W, J85-17",RM0110110F,METO WITH JETS,2700.00,RPM,55.00,IN HG,"","",FIXED,STATIC
C-123K,M01101,"R-2800-99W, J85-17",RM0110113V,IDLE,650.00,RPM,18.00,IN HG,"","",VARIABLE,STATIC
C-123K,M01101,"R-2800-99W, J85-17",RM0110115V,TAXI,1000.00,RPM,17.00,IN HG,"","",VARIABLE,STATIC
C-123K,M01101,"R-2800-99W, J85-17",RM0110129V,METO NO JETS,2700.00,RPM,55.00,IN HG,"","",VARIABLE,STATIC
B-1,M01201,F101-GE-100,RM0120103F,MAX PWR A/B,97.60,% RPM,1310.00,C TIT,"","",FIXED,STATIC
B-1,M01201,F101-GE-100,RM0120106V,INTERMED PWR (MIL),97.20,% RPM,1317.00,C TIT,"","",VARIABLE,STATIC
B-1,M01201,F101-GE-100,RM0120113V,IDLE,70.50,% RPM,848.00,C TIT,"","",VARIABLE,STATIC
B-2A,M01301,F118-GE-100,RM0130104V,MIL PWR,87.00,PLA,104.00,% NC,"","",VARIABLE,STATIC
B-2A,M01301,F118-GE-100,RM0130105V,MAX CONT PWR,44.00,PLA,95.00,% NC,"","",VARIABLE,STATIC
B-2A,M01301,F118-GE-100,RM0130113V,IDLE,20.00,PLA,73.00,% NC,"","",VARIABLE,STATIC
B-2A,M01301,F118-GE-100,RM0130118V,85 % RPM ENG RUNUP,31.00,PLA,85.00,% NC,"","",VARIABLE,STATIC
B-52B&D&E,M01401,J57-P-19W,RM0140113V,IDLE,61.00,% RPM,1.05,EPR,300.00,C EGT,VARIABLE,STATIC
B-52B&D&E,M01401,J57-P-19W,RM0140117V,90 % RPM ENG RUNUP,90.00,% RPM,2.04,EPR,520.00,C EGT,VARIABLE,STATIC
B-52B&D&E,M01401,J57-P-19W,RM0140119V,80 % RPM ENG RUNUP,80.00,% RPM,1.35,EPR,340.00,C EGT,VARIABLE,STATIC
B-52B&D&E,M01401,J57-P-19W,RM0140131V,MAX PWR,94.00,% RPM,2.45,EPR,580.00,C EGT,VARIABLE,STATIC
B-52G,M01402,J57-P-43WA,RM0140213V,IDLE,61.00,% RPM,1.05,EPR,300.00,C EGT,VARIABLE,STATIC
B-52G,M01402,J57-P-43WA,RM0140217V,90 % RPM ENG RUNUP,90.00,% RPM,2.04,EPR,520.00,C EGT,VARIABLE,STATIC
B-52G,M01402,J57-P-43WA,RM0140219V,80 % RPM ENG RUNUP,80.00,% RPM,1.35,EPR,340.00,C EGT,VARIABLE,STATIC
B-52G,M01402,J57-P-43WA,RM0140231V,MAX PWR,94.00,% RPM,2.45,EPR,580.00,C EGT,VARIABLE,STATIC
B-52H,M01403,TF33-P-3,RM0140313V,IDLE,1000.00,LBS/HR,1.05,EPR,60.00,% RPM,VARIABLE,STATIC
B-52H,M01403,TF33-P-3,RM0140316V,95 % RPM ENG RUNUP,5000.00,LBS/HR,1.33,EPR,95.00,% RPM,VARIABLE,STATIC
B-52H,M01403,TF33-P-3,RM0140319V,80 % RPM ENG RUNUP,1900.00,LBS/HR,1.08,EPR,80.00,% RPM,VARIABLE,STATIC
